ID de canal,URL del canal,Títol del canal
UC_M31M0F5JtCR-6Pda5LYOA,http://www.youtube.com/channel/UC_M31M0F5JtCR-6Pda5LYOA,La Furgo de Liante
UCcwIEgQUC6F8JT3dDTB8CVw,http://www.youtube.com/channel/UCcwIEgQUC6F8JT3dDTB8CVw,Rodrigo Hernandez-Gutierrez
UCdFtQriC1qPauDfFcqO3FCQ,http://www.youtube.com/channel/UCdFtQriC1qPauDfFcqO3FCQ,Centro de Ciencias de la Complejidad
UCfATaUE6riqT2ysbP7ZVwEQ,http://www.youtube.com/channel/UCfATaUE6riqT2ysbP7ZVwEQ,Cursos de matemáticas
UCgIxQrfuRANSttW8Dd85j9g,http://www.youtube.com/channel/UCgIxQrfuRANSttW8Dd85j9g,Luis Rincón
UCgNtMkSoJ9npvy9vkAjAlSg,http://www.youtube.com/channel/UCgNtMkSoJ9npvy9vkAjAlSg,Adrián GQ
UCgRr2pZaGeaZVN6LfbvQk9w,http://www.youtube.com/channel/UCgRr2pZaGeaZVN6LfbvQk9w,Dalas Review
UCkDHKK9d43IceFfEurMscNA,http://www.youtube.com/channel/UCkDHKK9d43IceFfEurMscNA,Arturo Rodríguez
UClrCpKwrC_d3uTgGRJRI4Qg,http://www.youtube.com/channel/UClrCpKwrC_d3uTgGRJRI4Qg,Arilin's Math World
UCltQ-fQq8w8USGG-1o2ubWw,http://www.youtube.com/channel/UCltQ-fQq8w8USGG-1o2ubWw,Geometría Analítica II. Grupo 4117 (Luis Grajales)
UClxtuOawscfjTAuKRIat6SA,http://www.youtube.com/channel/UClxtuOawscfjTAuKRIat6SA,Las Mates de Gerlachito
UCmF6r_udwPhwlkyAocDykWw,http://www.youtube.com/channel/UCmF6r_udwPhwlkyAocDykWw,Luis Jorge Matemáticas
UCocwYVcdTKlcZP2TohMV2LA,http://www.youtube.com/channel/UCocwYVcdTKlcZP2TohMV2LA,Señor Dr. profesor Pucky
UCpRYumvySamyF0_esGDB3hw,http://www.youtube.com/channel/UCpRYumvySamyF0_esGDB3hw,Fernando Cornejo Montaño
UCq5YfKN6SfUHKBoIxhnAhgQ,http://www.youtube.com/channel/UCq5YfKN6SfUHKBoIxhnAhgQ,1a con Berni
UCrkcSfp6Ynu-7qZjpZ8Iqhw,http://www.youtube.com/channel/UCrkcSfp6Ynu-7qZjpZ8Iqhw,Gerardo Gonzalez Robert
UCs_MDKbEFQ5MkKBQsOB9R_Q,http://www.youtube.com/channel/UCs_MDKbEFQ5MkKBQsOB9R_Q,David Josafat Santana C.
UCtUVEK7RlRu0DeHXxpbZd6w,http://www.youtube.com/channel/UCtUVEK7RlRu0DeHXxpbZd6w,JOSÉ MANUEL LÓPEZ BERENGUER
UCthZvdnvh-952-ZTJmyKeiw,http://www.youtube.com/channel/UCthZvdnvh-952-ZTJmyKeiw,Anabel Forte
UCupmCsCA5CFXmm31PkUhEbA,http://www.youtube.com/channel/UCupmCsCA5CFXmm31PkUhEbA,Tübingen Machine Learning
UCvNuSRR9ELNPAA5QShy8WHg,http://www.youtube.com/channel/UCvNuSRR9ELNPAA5QShy8WHg,Fernando Nuñez-Rosales
UCvUhg6l3acSkDSQVxZjx8hA,http://www.youtube.com/channel/UCvUhg6l3acSkDSQVxZjx8hA,Labardini's Maths
UCwyzw5eDJyHpWpMxh5CFVfQ,http://www.youtube.com/channel/UCwyzw5eDJyHpWpMxh5CFVfQ,AL GABR
UCx1iE065nUfD20ugtk_Izwg,http://www.youtube.com/channel/UCx1iE065nUfD20ugtk_Izwg,Rowan
UCxJEIK8giztm1Sd3mfaeSDw,http://www.youtube.com/channel/UCxJEIK8giztm1Sd3mfaeSDw,Adri Lemon
UCzI7wZyqk7jpXWT_MILjepw,http://www.youtube.com/channel/UCzI7wZyqk7jpXWT_MILjepw,Paulo Londra
UCzaY6vbYsP4aKiiv-ATlNgA,http://www.youtube.com/channel/UCzaY6vbYsP4aKiiv-ATlNgA,Juan Sosa





