Identificador de la llista de reproducció,Afegeix vídeos nous al principi,Marca de temps de creació de la imatge de la llista de reproducció 1,URL de la imatge de la llista de reproducció 1,Alçada de la imatge de la llista de reproducció 1,Amplada de la imatge de la llista de reproducció 1,Marca de temps de creació de la imatge de la llista de reproducció 2,URL de la imatge de la llista de reproducció 2,Alçada de la imatge de la llista de reproducció 2,Amplada de la imatge de la llista de reproducció 2,Títol (original) de la llista de reproducció,Idioma del títol (original) de la llista de reproducció,Marca de temps de creació de la llista de reproducció,Marca de temps d'actualització de la llista de reproducció,Ordre dels vídeos de la llista de reproducció,Visibilitat de la llista de reproducció
PL839pQL6HnzT87iuz0raM31USKbmb4SzG,False,2024-01-09T15:39:08.563864542+00:00,https://yt3.googleusercontent.com/EiRx5TfYY1_KPflfi-2RvJoVJfdNg7JxKGhkb4kyMUjjnkXrZAUd83eRGqukmlTBfUH3jzPAog,1000,1000,2023-12-21T20:39:58.622845263+00:00,https://yt3.googleusercontent.com/TB3W9MGqLBrD8JSLGLOTxMZecJqH8ZqGju5fkVZH8gKcyOqRUwwFK754T88oYTxHT-bq6TP6qUY,1000,1000,alternativeMusic,,2023-10-02T21:52:23+00:00,2024-03-13T07:02:29+00:00,Manual,Privada
PL839pQL6HnzTsVpm8nbftOUnmTCUEZGqF,True,,,,,,,,,Watch later,en_US,2023-02-14T01:27:32+00:00,2024-03-14T19:08:38+00:00,Manual,Privada





